remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BAR-1D7785;Propranolol, cloridrato - comprimido 40 mg;Propranolol, cloridrato;40 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-7706B5;Protamina ( Antidoto Heparina) 1000 UI mg/mL AMP 5 mL - ampola;Protamina ( Antidoto Heparina);1000 UI;;ampola;UPA;;;ativo
23/09/2026;BAR-7A5AD8;Proximetacaína 5 mg/mL 0,5% - frasco;Proximetacaína;5 mg/mL;;frasco;UPA;;;ativo
23/09/2026;BAR-BAEEF0;Raltegravir (RAL) - comprimido 100 mg;Raltegravir (RAL);100 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-1B7623;Raltegravir (RAL) - comprimido 400 mg;Raltegravir (RAL);400 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-6ECD2C;Raltegravir (RAL) - granulado para suspensão oral 100mg;Raltegravir (RAL);100mg;granulado;;CTA/CEM;;oral;ativo
23/09/2026;BAR-E61DD0;Rifampicina + Clofazimina + Dapsona - comprimido (300+150)+50+50 mg (poliquimioterapia única infantil);Rifampicina + Clofazimina + Dapsona;50+50 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-8DED07;Rifampicina + Clofazimina + Dapsona - comprimido (300+300)+(100+50)+100 mg (poliquimioterapia única adulto);Rifampicina + Clofazimina + Dapsona;100 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-11693D;Rifampicina + Isoniazida + Pirazinamida - comprimido dispersível 75 mg + 50 mg + 150mg;Rifampicina + Isoniazida + Pirazinamida;75 mg + 50 mg + 150mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-DD388F;Rifampicina + Pirazinamida + Etambutol + Isoniazida - comprimido 150+400+275+75 mg;Rifampicina + Pirazinamida + Etambutol + Isoniazida;150+400+275+75 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-15D0A9;Rifampicina - cápsula 300 mg;Rifampicina;300 mg;cápsula;;CTA/CEM;;oral;ativo
23/09/2026;BAR-128025;Rifampicina - suspensão oral 20 mg/mL (2%);Rifampicina;20 mg/mL (2%);suspensão oral;;CTA/CEM;;oral;ativo
23/09/2026;BAR-B67BD8;Rifapentina - comprimido 150mg;Rifapentina;150mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-520661;Ringer com Lactato 500 mL - bolsa;Ringer com Lactato;500 mL;;bolsa;UPA;;;ativo
23/09/2026;BAR-A0354E;Ritonavir (RTV) - comprimido 100 mg;Ritonavir (RTV);100 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-B011B2;Ritonavir (RTV) - pó para suspensão oral 100 mg;Ritonavir (RTV);100 mg;pó para suspensão oral;;CTA/CEM;;oral;ativo
23/09/2026;BAR-222882;Rivaroxabana 15 mg - comprimido;Rivaroxabana;15 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-9D8FEC;Rocurônio 10 mg/5 mL - ampola;Rocurônio;10 mg/5 mL;;ampola;UPA;;;ativo
23/09/2026;BAR-6C4308;Sais para reidratação oral - pó para solução oral;Sais para reidratação oral;;pó para solução oral;;UBS;;oral;ativo
23/09/2026;BAR-B62E54;Sais para reidratação oral ENV 28,9 g - pó;Sais para reidratação oral ENV;28,9 g;pó;;UPA;;;ativo
23/09/2026;BAR-C148BF;Salbutamol 0,5 mg/mL - ampola;Salbutamol;0,5 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-01CA8A;Salbutamol sulfato 100 mcg - spray;Salbutamol sulfato;100 mcg;spray;;UPA;;;ativo
23/09/2026;BAR-7996B4;Salbutamol sulfato 5 mg/mL - 120 mL - frasco;Salbutamol sulfato;5 mg/mL;;frasco;UPA;;;ativo
23/09/2026;BAR-D35CCD;Salbutamol, sulfato - aerossol oral 100 mcg/dose;Salbutamol, sulfato;100 mcg/dose;aerossol;;UBS;;inalatória;ativo
23/09/2026;BAR-D14012;Simeticona 75 mg/mL - 15 mL - frasco/gotas;Simeticona;75 mg/mL;gotas;frasco;UPA;;;ativo
23/09/2026;BAR-B52128;Sinvastatina - comprimido 10 mg;Sinvastatina;10 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-4E55A0;Sinvastatina - comprimido 20 mg;Sinvastatina;20 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-D8EF48;Sinvastatina - comprimido 40 mg;Sinvastatina;40 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-09D2BF;Sinvastatina 20 mg - comprimido;Sinvastatina;20 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-B55FD1;Sulfadiazina - comprimido 500 mg;Sulfadiazina;500 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-B08FDF;Sulfadiazina de prata - creme 10 mg/g (1%);Sulfadiazina de prata;10 mg/g (1%);creme;;UBS;;tópica;ativo
23/09/2026;BAR-A2D61B;Sulfadiazina de Prata 10 mg/G - 50 g - creme;Sulfadiazina de Prata;10 mg/G;creme;;UPA;;tópica;ativo
23/09/2026;BAR-C2B234;Sulfametoxazol + trimetoprima - comprimido 400 mg + 80 mg;Sulfametoxazol + trimetoprima;400 mg + 80 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-81E66C;Sulfametoxazol + trimetoprima - suspensão oral 40 mg/mL + 8 mg/mL;Sulfametoxazol + trimetoprima;40 mg/mL + 8 mg/mL;suspensão oral;;UBS;;oral;ativo
23/09/2026;BAR-64A81F;Sulfametoxazol + Trimetroprima 400 mg+80 mg - comprimido;Sulfametoxazol + Trimetroprima;400 mg +80 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-3F2610;Sulfato de Neomicina+bacitracina 5 mg/250 UI - pomada;Sulfato de Neomicina+bacitracina;5 mg;pomada;;UPA;;tópica;ativo
23/09/2026;BAR-BB14B2;Sulfato ferroso - 125,545 mg comprimido equivalente a 40 mg de Fe++;Sulfato ferroso;125,545 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-E0F835;Sulfato ferroso - solução oral gotas 125 mg/mL (equivalente a 25 mg de Fe++);Sulfato ferroso;125 mg/mL;solução oral;;UBS;;oral;ativo
23/09/2026;BAR-1E5A87;Sulfato Ferroso 40 mg - comprimido;Sulfato Ferroso;40 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-F91C6F;Sulfato Ferroso 40 mg - drágea;Sulfato Ferroso;40 mg;drágea;;UPA;;oral;ativo
23/09/2026;BAR-B3E85C;Suxametonio 100 mg - frasco/ampola;Suxametonio;100 mg;;ampola;UPA;;;ativo
23/09/2026;BAR-706D16;Talidomida - comprimido 100 mg;Talidomida;100 mg;comprimido;;CAF/CTA;;oral;ativo
23/09/2026;BAR-7ABB09;Tenofovir desoproxila (TDF) + Lamivudina fumarato (3TC) - comprimido 300 mg + 300 mg;Tenofovir desoproxila (TDF) + Lamivudina fumarato (3TC);300 mg + 300 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-70DA57;Tenofovir desoproxila - comprimido 300 mg;Tenofovir desoproxila;300 mg;comprimido;;CTA/CEM;;oral;ativo
23/09/2026;BAR-4D584E;Tiamina 100 mg/mL- 1 mL SOL INJ - ampola;Tiamina;100 mg/mL;solução;ampola;UPA;;;ativo
23/09/2026;BAR-992113;Tiamina, cloridrato (vit.B1) - solução injetável 100mg/mL;Tiamina, cloridrato (vit.B1);100mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-0419F3;Tiamina, cloridrato - comprimido 300 mg;Tiamina, cloridrato;300 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-208AC6;Tipranavir(TPV) - cápsula de 250 mg;Tipranavir(TPV);250 mg;cápsula;;CTA/CEM;;oral;ativo
23/09/2026;BAR-D16543;Tramadol - solução injetável 50 mg/mL;Tramadol;50 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-261B37;Tramadol cloridrato 50 mg/mL - 2 mL - ampola;Tramadol cloridrato;50 mg/mL;;ampola;UPA;;;ativo
23/09/2026;BAR-1055D3;Varfarina sódica - comprimido 5 mg;Varfarina sódica;5 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-D34481;Varfarina Sódica 5 mg - comprimido;Varfarina Sódica;5 mg;comprimido;;UPA;;oral;ativo
23/09/2026;BAR-108419;Verapamil - comprimido 80 mg;Verapamil;80 mg;comprimido;;UBS;;oral;ativo
23/09/2026;BAR-FEC593;Vitaminas do complexo B (tiamina, riboflavina, piridoxina, nicotinamida, dexpantenol) - solução injetável 4+1+2+20+3 mg/mL;Vitaminas do complexo B (tiamina, riboflavina, piridoxina, nicotinamida, dexpantenol);4+1+2+20+3 mg/mL;solução injetável;;CTA/CEM/UBS/CAPS;;injetável;ativo
23/09/2026;BAR-F1B159;Zidovudina (AZT) + lamivudina (3TC) - comprimido 300 mg + 150 mg;Zidovudina (AZT) + lamivudina (3TC);300 mg + 150 mg;comprimido;;CTA/CEM;;oral;ativo
