codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
BAR-A0F02F;Oxacilina sódica 500 mg - frasco/ampola;Oxacilina sódica;500 mg;;quebra automática incerta · via de administração não inferida
BAR-D17A2B;Paracetamol 200 mg/mL - 15 mL - gotas;Paracetamol;200 mg/mL;gotas;via de administração não inferida
BAR-0CF3A0;Poliestirenossulfonato de Calcio 900 mg/G - envelope;Poliestirenossulfonato de Calcio;900 mg/G;;quebra automática incerta · via de administração não inferida
BAR-A6EE7C;Prednisolona 1 mg/mL - solução;Prednisolona;1 mg/mL;solução;via de administração não inferida
BAR-CCF99A;Prometazina cloridrato 25 mg/mL - 2 mL - ampola;Prometazina cloridrato;25 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-7706B5;Protamina ( Antidoto Heparina) 1000 UI mg/mL AMP 5 mL - ampola;Protamina ( Antidoto Heparina);1000 UI;;quebra automática incerta · via de administração não inferida
BAR-7A5AD8;Proximetacaína 5 mg/mL 0,5% - frasco;Proximetacaína;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-520661;Ringer com Lactato 500 mL - bolsa;Ringer com Lactato;500 mL;;quebra automática incerta · via de administração não inferida
BAR-9D8FEC;Rocurônio 10 mg/5 mL - ampola;Rocurônio;10 mg/5 mL;;quebra automática incerta · via de administração não inferida
BAR-B62E54;Sais para reidratação oral ENV 28,9 g - pó;Sais para reidratação oral ENV;28,9 g;pó;via de administração não inferida
BAR-C148BF;Salbutamol 0,5 mg/mL - ampola;Salbutamol;0,5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-01CA8A;Salbutamol sulfato 100 mcg - spray;Salbutamol sulfato;100 mcg;spray;via de administração não inferida
BAR-7996B4;Salbutamol sulfato 5 mg/mL - 120 mL - frasco;Salbutamol sulfato;5 mg/mL;;quebra automática incerta · via de administração não inferida
BAR-D14012;Simeticona 75 mg/mL - 15 mL - frasco/gotas;Simeticona;75 mg/mL;gotas;via de administração não inferida
BAR-B3E85C;Suxametonio 100 mg - frasco/ampola;Suxametonio;100 mg;;quebra automática incerta · via de administração não inferida
BAR-4D584E;Tiamina 100 mg/mL- 1 mL SOL INJ - ampola;Tiamina;100 mg/mL;solução;via de administração não inferida
BAR-261B37;Tramadol cloridrato 50 mg/mL - 2 mL - ampola;Tramadol cloridrato;50 mg/mL;;quebra automática incerta · via de administração não inferida
