remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;BET-FC6AAD;Etomidato 2mg/ml - Solução Injetável;Etomidato;2mg/ml;solução injetável;;UPA, HPRB, SAMU, CIMUC;;injetável;ativo
23/09/2026;BET-DB717B;Etonogestrel 68mg - Implante Subdérmico;Etonogestrel;68mg;implante subdérmico;;;;subcutânea;ativo
23/09/2026;BET-616A2E;Fenitoína 100mg - Comprimido;Fenitoína;100mg;comprimido;;UBS, CERSAM, CAPS-AD, CERSAMI, UPA, HPRB;;oral;ativo
23/09/2026;BET-09B9B1;Fenitoína 50mg/ml - Solução Injetável;Fenitoína;50mg/ml;solução injetável;;CX EMERGÊNCIA, UPA, HPRB, CERSAM, CAPS-AD, CERSAMI, SEPADI, CIMUC, SAMU;;injetável;ativo
23/09/2026;BET-548D22;Fenobarbital 100mg - Comprimido;Fenobarbital;100mg;comprimido;;UBS, CERSAM, CAPS-AD, CERSAMI, UPA, HPRB;;oral;ativo
23/09/2026;BET-17A4E6;Fenobarbital 100mg/ml - Solução Injetável;Fenobarbital;100mg/ml;solução injetável;;CX EMERGÊNCIA, UPA, HPRB, CERSAM, CAPS-AD, CERSAMI, SEPADI, CIMUC, SAMU;;injetável;ativo
23/09/2026;BET-D51449;Fenobarbital 40mg/ml - Solução Oral;Fenobarbital;40mg/ml;solução oral;;UBS, CERSAM, CAPS-AD, CERSAMI, UPA, HPRB;;oral;ativo
23/09/2026;BET-CDF0A3;Fentanila 0,05mg/ml - Solução Injetável;Fentanila;0,05mg/ml;solução injetável;;UPA, HPRB, SAMU;Notificação de Receita A (amarela) — entorpecente/psicotrópico, Portaria 344/98. Prescrição em receituário especial.;injetável;ativo
23/09/2026;BET-412F86;Finasterida 5mg - Comprimido;Finasterida;5mg;comprimido;;;;oral;ativo
23/09/2026;BET-7D1B10;Fitomenadiona 10mg/ml - Solução Injetável;Fitomenadiona;10mg/ml;solução injetável;;UBS, UPA, HPRB;;injetável;ativo
23/09/2026;BET-6A7A12;Fluconazol 150mg - Cápsula;Fluconazol;150mg;cápsula;;UBS, UPA, HPRB, SEPADI;;oral;ativo
23/09/2026;BET-32FF2F;Fluconazol 2mg/ml (0,2%) - Solução Injetável;Fluconazol;2mg/ml (0,2%);solução injetável;;;;injetável;ativo
23/09/2026;BET-A4ACEF;Flumazenil 0,1mg/ml - Solução Injetável;Flumazenil;0,1mg/ml;solução injetável;;CX EMERGÊNCIA, UPA, HPRB, SEPADI, CIMUC;;injetável;ativo
23/09/2026;BET-59FAE8;Fluocinolona + Polimixina B + Lidocaína + Neomicina 250mg + 10.000ui + 20mg + 5mg/ml - Solução Otológica;Fluocinolona + Polimixina B + Lidocaína + Neomicina;250mg + 10.000ui + 20mg + 5mg/ml;solução otológica;;;;otológica;ativo
23/09/2026;BET-6001E5;Fluoresceína 10mg/ml (1%) - Solução Oftálmica;Fluoresceína;10mg/ml (1%);solução oftálmica;;;;oftálmica;ativo
23/09/2026;BET-0B7889;Fluoxetina 20mg - Cápsula;Fluoxetina;20mg;cápsula;;;;oral;ativo
