remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;CON-7C3587;Fenitoína Sódica 100mg - Comprimido;Fenitoína Sódica;100mg;comprimido;;;;oral;ativo
23/09/2026;CON-96668E;Fenobarbital Sódico 100mg - Comprimido;Fenobarbital Sódico;100mg;comprimido;;;;oral;ativo
23/09/2026;CON-741FDA;Fenobarbital Sódico 40mg/ml - Solução Oral;Fenobarbital Sódico;40mg/ml;solução oral;;;;oral;ativo
23/09/2026;CON-59BBE8;Finasterida 5mg - Comprimido;Finasterida;5mg;comprimido;;;;oral;ativo
23/09/2026;CON-2B08BD;Fluconazol 150mg - Cápsula;Fluconazol;150mg;cápsula;;;;oral;ativo
23/09/2026;CON-433E91;Fluoxetina Cloridrato 20mg - Cápsula;Fluoxetina Cloridrato;20mg;cápsula;;;;oral;ativo
23/09/2026;CON-2A5296;Furosemida 40mg - Comprimido;Furosemida;40mg;comprimido;;;;oral;ativo
23/09/2026;CON-7BB137;Glibenclamida 5mg - Comprimido;Glibenclamida;5mg;comprimido;;;;oral;ativo
23/09/2026;CON-F952CC;Glicazida 30mg - Comprimido de Liberação Prolongada;Glicazida;30mg;comprimido de liberação prolongada;;;;oral;ativo
23/09/2026;CON-E2DD71;Haloperidol 2mg/ml - Solução Oral;Haloperidol;2mg/ml;solução oral;;;;oral;ativo
23/09/2026;CON-934D07;Haloperidol 5mg - Comprimido;Haloperidol;5mg;comprimido;;;;oral;ativo
23/09/2026;CON-1A7D1B;Haloperidol Decanoato 50mg/ml - Solução Injetável;Haloperidol Decanoato;50mg/ml;solução injetável;;;;injetável;ativo
23/09/2026;CON-E99141;Heparina Sódica 5.000ui/0,25ml - Solução Injetável Subcutânea;Heparina Sódica;5.000ui;solução injetável;;;;injetável;ativo
23/09/2026;CON-1D61AF;Hidralazina Cloridrato 50mg - Comprimido;Hidralazina Cloridrato;50mg;comprimido;;;;oral;ativo
23/09/2026;CON-3A408C;Hidroclorotiazida 25mg - Comprimido;Hidroclorotiazida;25mg;comprimido;;;;oral;ativo
23/09/2026;CON-DC0FB4;Ibuprofeno 50mg/ml - Solução Oral;Ibuprofeno;50mg/ml;solução oral;;;;oral;ativo
23/09/2026;CON-63DF23;Ibuprofeno 600mg - Comprimido;Ibuprofeno;600mg;comprimido;;;;oral;ativo
23/09/2026;CON-0401E1;Insulina NPH 100ui/ml - Suspensão Injetável;Insulina NPH;100ui/ml;suspensão injetável;;;;injetável;ativo
23/09/2026;CON-05B7ED;Insulina Regular 100ui/ml - Solução Injetável;Insulina Regular;100ui/ml;solução injetável;;;;injetável;ativo
23/09/2026;CON-EC5725;Ipratrópio Brometo 0,25mg/ml - Solução para Inalação;Ipratrópio Brometo;0,25mg/ml;solução;;;;;ativo
23/09/2026;CON-654016;Isossorbida Dinitrato 5mg - Comprimido Sublingual;Isossorbida Dinitrato;5mg;comprimido sublingual;;;;sublingual;ativo
23/09/2026;CON-726C86;Isossorbida Mononitrato 20mg - Comprimido;Isossorbida Mononitrato;20mg;comprimido;;;;oral;ativo
23/09/2026;CON-C8B812;Isossorbida Mononitrato 40mg - Comprimido;Isossorbida Mononitrato;40mg;comprimido;;;;oral;ativo
23/09/2026;CON-999D84;Itraconazol 100mg - Cápsula;Itraconazol;100mg;cápsula;;;;oral;ativo
23/09/2026;CON-DFDE54;Ivermectina 6mg - Comprimido;Ivermectina;6mg;comprimido;;;;oral;ativo
23/09/2026;CON-1582ED;Lactulose 667mg/ml - Xarope;Lactulose;667mg/ml;xarope;;;;oral;ativo
