remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;CON-DE8EA7;Ciprofloxacino 200mg - Injetável;Ciprofloxacino;200mg;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-CED91F;Ciprofloxacino 500mg - Comprimido;Ciprofloxacino;500mg;comprimido;;UBS, FARMÁCIA CENTRAL;;oral;ativo
23/09/2026;CON-31177B;Clomipramina 25mg - Comprimido;Clomipramina;25mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO);;oral;ativo
23/09/2026;CON-8FA22E;Clonazepam 2,5mg/mL - Gotas;Clonazepam;2,5mg/mL;gotas;;FARMÁCIA CENTRAL;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;CON-B61D1E;Clonazepam 2mg - Comprimido;Clonazepam;2mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;oral;ativo
23/09/2026;CON-4B3D9D;Clopidogrel 75mg - Comprimido;Clopidogrel;75mg;comprimido;;URGÊNCIA (USO INTERNO);;oral;ativo
23/09/2026;CON-40E277;Cloreto de Potássio 10% - Injetável;Cloreto de Potássio;10%;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-5E1C11;Cloreto de Sódio 0,9% - Injetável;Cloreto de Sódio;0,9%;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-1828BE;Cloreto de Sódio 10% - Injetável;Cloreto de Sódio;10%;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-83583B;Clorexidina 0,5% - Solução Alcoólica Tópica;Clorexidina;0,5%;solução;;URGÊNCIA (USO INTERNO);;tópica;ativo
23/09/2026;CON-BFA5E4;Clorexidina 2% - Solução Tópica Degermante;Clorexidina;2%;solução tópica;;URGÊNCIA (USO INTERNO);;tópica;ativo
23/09/2026;CON-676EB3;Clorpromazina 100mg - Comprimido;Clorpromazina;100mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-469464;Clorpromazina 25mg - Comprimido;Clorpromazina;25mg;comprimido;;FARMÁCIA CENTRAL, CAPS II (USO INTERNO), CAPS AD (USO INTERNO);;oral;ativo
23/09/2026;CON-74A038;Clorpromazina 5mg/mL - Injetável;Clorpromazina;5mg/mL;injetável;;URGÊNCIA (USO INTERNO);;injetável;ativo
23/09/2026;CON-EB22DB;Colagenase 0,6ui/g - Pomada;Colagenase;0,6ui;pomada;;UBS (USO INTERNO), URGÊNCIA (USO INTERNO);;tópica;ativo
