remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;ITA-00F676;Risperidona 1mg - Comprimido;Risperidona;1mg;comprimido;;;;oral;ativo
23/09/2026;ITA-2E07E1;Risperidona 2mg - Comprimido;Risperidona;2mg;comprimido;;;;oral;ativo
23/09/2026;ITA-6B8286;Sais para Reidratação Oral;Sais para Reidratação Oral;;;;;;;ativo
23/09/2026;ITA-F6E3BC;Salbutamol 100mcg/dose - Inalador Dosimetrado;Salbutamol;100mcg/dose;;;;;;ativo
23/09/2026;ITA-4392B4;Sinvastatina 20mg - Comprimido;Sinvastatina;20mg;comprimido;;;;oral;ativo
23/09/2026;ITA-96EA3E;Sinvastatina 40mg - Comprimido;Sinvastatina;40mg;comprimido;;;;oral;ativo
23/09/2026;ITA-D3BB7D;Sulfadiazina de Prata 10mg/g (1%) - Creme Dermatológico;Sulfadiazina de Prata;10mg/g (1%);creme dermatológico;;;;tópica;ativo
23/09/2026;ITA-1B4FF8;Sulfametoxazol + Trimetoprima 200mg + 40mg/5ml - Suspensão Oral;Sulfametoxazol + Trimetoprima;200mg + 40mg;suspensão oral;;;;oral;ativo
23/09/2026;ITA-D87C3E;Sulfametoxazol + Trimetoprima 400mg + 80mg - Comprimido;Sulfametoxazol + Trimetoprima;400mg + 80mg;comprimido;;;;oral;ativo
23/09/2026;ITA-9C1E24;Sulfato Ferroso 25mg/ml - Solução Oral (Gotas);Sulfato Ferroso;25mg/ml;solução oral;;;;oral;ativo
23/09/2026;ITA-3B973C;Sulfato Ferroso 40mg - Comprimido;Sulfato Ferroso;40mg;comprimido;;;;oral;ativo
23/09/2026;ITA-D87E0C;Tiamina 100mg/ml - Injetável (Ampola 1ml);Tiamina;100mg/ml;injetável;Ampola 1ml;;;injetável;ativo
23/09/2026;ITA-D69CFC;Tiamina 300mg - Comprimido;Tiamina;300mg;comprimido;;;;oral;ativo
23/09/2026;ITA-823228;Valproato de Sódio 250mg - Comprimido;Valproato de Sódio;250mg;comprimido;;;;oral;ativo
23/09/2026;ITA-E00893;Valproato de Sódio 50mg/ml - Xarope;Valproato de Sódio;50mg/ml;xarope;;;;oral;ativo
23/09/2026;ITA-F41BEF;Varfarina 5mg - Comprimido;Varfarina;5mg;comprimido;;;;oral;ativo
23/09/2026;ITA-BFDC9B;Verapamil 80mg - Comprimido;Verapamil;80mg;comprimido;;;;oral;ativo
