remume_versao;codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;apresentacao;local_dispensacao;restricao;via_administracao;situacao
23/09/2026;SET-ED7887;Captopril 25mg;Captopril;25mg;;;;;;ativo
23/09/2026;SET-0578C7;Carbidopa + Levodopa 25mg/250mg;Carbidopa + Levodopa;25mg;;;;;;ativo
23/09/2026;SET-9796B3;Carbon. de Cálcio 500mg + Vit. D 400 UI;Carbon. de Cálcio;500mg;;;;;;ativo
23/09/2026;SET-3C6180;Carbonato de Cálcio 500mg;Carbonato de Cálcio;500mg;;;;;;ativo
23/09/2026;SET-BEC4DA;Carbonato de Lítio 300mg;Carbonato de Lítio;300mg;;;;;;ativo
23/09/2026;SET-D07348;Carmabazepina 200mg;Carmabazepina;200mg;;;;;;ativo
23/09/2026;SET-E3CB28;Carmabazepina 20mg/mL;Carmabazepina;20mg/mL;;;;;;ativo
23/09/2026;SET-C32838;Carvedilol 12,5mg;Carvedilol;12,5mg;;;;;;ativo
23/09/2026;SET-2D3C1E;Carvedilol 3,125mg;Carvedilol;3,125mg;;;;;;ativo
23/09/2026;SET-C6FF6D;Cefalexina 250mg/5mL;Cefalexina;250mg/5mL;;;;;;ativo
23/09/2026;SET-465A57;Cefalexina 500mg;Cefalexina;500mg;;;;;;ativo
23/09/2026;SET-7E21F0;Cetoconazol 200mg;Cetoconazol;200mg;;;;;;ativo
23/09/2026;SET-51DDAA;Cetoconazol 20mg/g - Creme;Cetoconazol;20mg/g;creme;;;;tópica;ativo
23/09/2026;SET-FB00B0;Claritromicina 500mg;Claritromicina;500mg;;;;;;ativo
23/09/2026;SET-4A08E3;Claritromicina 50mg/mL - Suspensão;Claritromicina;50mg/mL;suspensão;;;;;ativo
23/09/2026;SET-76FF77;Clomipramina 25mg;Clomipramina;25mg;;;;;;ativo
23/09/2026;SET-770E9F;Clonazepam 2,5mg/mL;Clonazepam;2,5mg/mL;;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;SET-5B31F8;Clonazepam 2mg;Clonazepam;2mg;;;;Notificação de Receita B (azul) — psicotrópico, Portaria 344/98. Prescrição em receituário especial.;;ativo
23/09/2026;SET-390479;Cloreto de Sódio 0,9%;Cloreto de Sódio;0,9%;;;;;;ativo
23/09/2026;SET-D3A920;Clorpromazina 100mg;Clorpromazina;100mg;;;;;;ativo
23/09/2026;SET-41C93F;Clorpromazina 25mg;Clorpromazina;25mg;;;;;;ativo
23/09/2026;SET-346EF4;Clorpromazina 4% - Gotas;Clorpromazina;4%;gotas;;;;;ativo
23/09/2026;SET-D5018F;Colagenase 1,2 UI;Colagenase;1,2 UI;;;;;;ativo
23/09/2026;SET-4EAC26;Complexo B;Complexo B;;;;;;;ativo
23/09/2026;SET-345D98;Desogestrel 75mcg;Desogestrel;75mcg;;;;;;ativo
23/09/2026;SET-0684B7;Dexametasona 1% - Suspensão Oftálmica;Dexametasona;1%;suspensão;;;;;ativo
23/09/2026;SET-A66AE2;Dexametasona 1mg/g - Creme;Dexametasona;1mg/g;creme;;;;tópica;ativo
23/09/2026;SET-483910;Dexclorfeniramina 0,4mg/mL;Dexclorfeniramina;0,4mg/mL;;;;;;ativo
