codigo_identificacao;descricao_original;principio_ativo;concentracao;forma_farmaceutica;motivo
FRA-6FCBD3;Sulfadiazina 1% pote 400 g;Sulfadiazina;1%;;quebra automática incerta · via de administração não inferida
FRA-2C0FBB;Rifampicina 2% suspensão frasco 60 ml;Rifampicina;2%;suspensão;via de administração não inferida
FRA-5BF828;Pirazinamida + Rifampicina + Etambutol + Isoniazida (COCXIP) - 1ª fase;Pirazinamida + Rifampicina + Etambutol + Isoniazida (COCXIP) - 1ª fase;;;quebra automática incerta · via de administração não inferida
FRA-B6D8CA;Isoniazida 75 mg + Rifampicina 150 mg - 2ª fase;Isoniazida;75 mg;;quebra automática incerta · via de administração não inferida
FRA-7A2932;Vitaminas do Complexo B;Vitaminas do Complexo B;;;quebra automática incerta · via de administração não inferida
FRA-4F0429;Mebendazol 100 mg/ml frasco 30 ml;Mebendazol;100 mg/ml;;quebra automática incerta · via de administração não inferida
FRA-63EC47;Metronidazol 40 mg/ml frasco 100 mg;Metronidazol;40 mg/ml;;quebra automática incerta · via de administração não inferida
FRA-030E6B;Praziquantel 500 mg;Praziquantel;500 mg;;quebra automática incerta · via de administração não inferida
FRA-80AE44;Haloperidol gotas 2 mg/1 ml frasco 30 ml;Haloperidol;2 mg/1 ml;gotas;via de administração não inferida
FRA-4C1F2B;Levomepromazina 4% gotas frasco 20 ml;Levomepromazina;4%;gotas;via de administração não inferida
FRA-5856D2;Álcool 70% almotolia 100 ml;Álcool;70%;;quebra automática incerta · via de administração não inferida
FRA-F822B5;Álcool 70% frasco 1.000 ml;Álcool;70%;;quebra automática incerta · via de administração não inferida
FRA-761EC6;Clorexidina 2% almotolia 100 ml;Clorexidina;2%;;quebra automática incerta · via de administração não inferida
FRA-59A2ED;Polivinilpirrolidona Iodo PVPI degermante almotolia 100 ml;Polivinilpirrolidona Iodo PVPI degermante almotolia;100 ml;;quebra automática incerta · via de administração não inferida
FRA-8B82AA;Ranitidina ampola 50 mg/2 ml;Ranitidina ampola;50 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-76817F;Nifedipina sublingual 10 mg;Nifedipina sublingual;10 mg;;quebra automática incerta
FRA-4BC9D0;Aminofilina ampola 240 mg/10 ml;Aminofilina ampola;240 mg/10 ml;;quebra automática incerta · via de administração não inferida
FRA-3AF83B;Fenoterol 0,5% gotas frasco 20 ml;Fenoterol;0,5%;gotas;via de administração não inferida
FRA-DFC968;Ipratrópio 0,025% gotas frasco 20 ml;Ipratrópio;0,025%;gotas;via de administração não inferida
FRA-8EE298;Salbutamol spray 100 mcg/dose frasco 200 doses;Salbutamol;100 mcg/dose;spray;via de administração não inferida
FRA-9B725E;Terbutalina ampola 0,5 mg/1 ml;Terbutalina ampola;0,5 mg/1 ml;;quebra automática incerta · via de administração não inferida
FRA-789586;Colagenase mono 1,2 UI/g bisnaga 30 g + espátula;Colagenase mono;1,2 UI;;quebra automática incerta · via de administração não inferida
FRA-38870D;Furosemida ampola 20 mg/2 ml;Furosemida ampola;20 mg/2 ml;;quebra automática incerta · via de administração não inferida
FRA-CD88D5;Água Destilada ampola 10 ml;Água Destilada ampola;10 ml;;quebra automática incerta · via de administração não inferida
FRA-41E943;Água Destilada frasco 250 ml;Água Destilada frasco;250 ml;;quebra automática incerta · via de administração não inferida
FRA-07C883;Bicarbonato de Sódio 8,4% ampola 10 ml;Bicarbonato de Sódio;8,4%;;quebra automática incerta · via de administração não inferida
FRA-B91EC7;Bicarbonato de Sódio 8,4% frasco 250 ml;Bicarbonato de Sódio;8,4%;;quebra automática incerta · via de administração não inferida
FRA-23033A;Cálcio Gluconato 10% (0,45 mEq/mL de Ca++) ampola 10 ml;Cálcio Gluconato;10%;;quebra automática incerta · via de administração não inferida
FRA-99929B;Glicose 5% bolsa 250 ml;Glicose;5%;;quebra automática incerta · via de administração não inferida
FRA-5CB2F2;Glicose 25% ampola 10 ml;Glicose;25%;;quebra automática incerta · via de administração não inferida
FRA-3C146F;Magnésio Sulfato 10% (0,81 mEq/mL de Mg++) ampola 10 ml;Magnésio Sulfato;10%;;quebra automática incerta · via de administração não inferida
